                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6631,                 1.8912,                 1.6485,                0.34158,                0.63861,                0.24587,                0.11096,                 1.9064,                 2.8709,                 1.8745,             0.00047603,             0.00047603,             0.00047603
                      2,                 1.7266,                 1.8603,                 1.6917,                0.50713,                0.31586,                0.22563,                0.11956,                 2.0378,                 2.3908,                 2.0605,             0.00091137,             0.00091137,             0.00091137
                      3,                 1.6451,                 1.7493,                 1.6333,                0.36387,                0.44983,                0.33036,                0.15539,                 1.9806,                 1.7947,                  2.137,              0.0013108,              0.0013108,              0.0013108
                      4,                 1.5639,                 1.6037,                 1.5671,                0.62494,                0.44974,                0.53338,                0.34408,                 1.6988,                 1.5188,                 1.7556,              0.0012522,              0.0012522,              0.0012522
                      5,                 1.4902,                 1.4772,                 1.5247,                0.62842,                0.43327,                0.41388,                0.20256,                 1.8722,                 1.5994,                 1.9241,              0.0011932,              0.0011932,              0.0011932
                      6,                 1.4105,                 1.3539,                 1.4693,                0.68801,                0.46161,                0.45786,                0.23446,                  1.736,                 1.3504,                 1.7797,              0.0011343,              0.0011343,              0.0011343
                      7,                 1.3725,                 1.2599,                 1.4409,                0.43979,                0.65007,                0.39424,                0.23494,                 1.5717,                 1.6363,                 1.6174,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.3254,                 1.2182,                 1.4191,                0.53781,                0.55103,                0.44656,                0.24417,                 1.5666,                 1.2738,                 1.6503,              0.0010164,              0.0010164,              0.0010164
                      9,                 1.2816,                 1.1592,                 1.3818,                0.47947,                0.67953,                0.48185,                0.26194,                 1.6211,                 1.3641,                 1.6882,             0.00095743,             0.00095743,             0.00095743
                     10,                 1.2544,                 1.1112,                 1.3627,                0.55191,                0.67922,                0.45795,                0.27102,                 1.5795,                 1.3569,                 1.6105,              0.0009197,              0.0009197,              0.0009197
                     11,                 1.2287,                  1.059,                 1.3387,                0.48306,                 0.8035,                0.49763,                0.24542,                 1.7643,                 1.2249,                 1.7901,             0.00086312,             0.00086312,             0.00086312
                     12,                 1.2068,                 1.0385,                 1.3328,                0.51171,                0.59993,                0.47698,                0.25027,                   1.72,                 1.2684,                 1.8002,             0.00080653,             0.00080653,             0.00080653
                     13,                 1.1804,                0.99203,                 1.3148,                0.52761,                0.76495,                0.54538,                 0.2997,                 1.4854,                  1.091,                 1.5802,             0.00074994,             0.00074994,             0.00074994
                     14,                 1.1454,                0.95984,                 1.2913,                0.40348,                0.77834,                0.48061,                0.26139,                 1.6469,                 1.3231,                  1.788,             0.00069335,             0.00069335,             0.00069335
                     15,                 1.1261,                0.91707,                 1.2756,                0.42858,                0.81648,                0.50064,                0.27432,                 1.5402,                 1.1486,                 1.6153,             0.00063676,             0.00063676,             0.00063676
                     16,                 1.0743,                0.79937,                 1.2681,                0.61675,                 0.5625,                0.53266,                0.33178,                 1.3468,                0.99097,                  1.501,             0.00058017,             0.00058017,             0.00058017
                     17,                 1.0433,                0.74501,                  1.246,                0.47267,                0.81103,                0.69465,                0.39473,                 1.5155,                 1.1129,                 1.6289,             0.00052359,             0.00052359,             0.00052359
                     18,                 1.0099,                0.71053,                 1.2204,                  0.471,                0.79953,                 0.5384,                0.30976,                 1.5511,                 1.2101,                 1.6654,               0.000467,               0.000467,               0.000467
                     19,                0.98787,                0.68597,                  1.205,                0.55619,                0.70784,                0.60487,                0.34269,                 1.4185,                0.96593,                 1.5768,             0.00041041,             0.00041041,             0.00041041
                     20,                 0.9644,                0.65574,                 1.1885,                0.55667,                0.81355,                0.57941,                0.33604,                 1.4247,                 1.0597,                 1.5189,             0.00035382,             0.00035382,             0.00035382
                     21,                0.93215,                0.62476,                 1.1666,                0.46921,                0.83345,                0.55061,                0.31148,                 1.4693,                 1.1087,                  1.577,             0.00029723,             0.00029723,             0.00029723
                     22,                0.91318,                0.60112,                 1.1581,                 0.5015,                0.86246,                0.63182,                0.36079,                 1.4731,                0.98692,                 1.5974,             0.00024064,             0.00024064,             0.00024064
                     23,                0.88671,                0.57876,                 1.1422,                0.58863,                0.79763,                0.57111,                0.33571,                 1.4234,                0.96429,                 1.5454,             0.00018406,             0.00018406,             0.00018406
                     24,                0.86695,                0.55684,                 1.1316,                0.48369,                0.87451,                0.57876,                0.33067,                   1.56,                 1.0654,                 1.7377,             0.00012747,             0.00012747,             0.00012747
                     25,                0.84809,                0.53186,                 1.1115,                0.48359,                0.85106,                0.58545,                0.34752,                 1.4944,                 1.0285,                 1.6334,             7.0878e-05,             7.0878e-05,             7.0878e-05
